batch	index	address	target_x	target_y	addend_x	addend_y	expected_x	expected_y	got_x	got_y	got_address	classical_failure	phase_failure	ancilla_failure	any_failure
1	64	5255	0xa484674727af73938c206765177b79401ee51248ee826815a656adb3123e256a	0xd73b4e6b8d7c23592426d39e42076129c3dbe3353fc417f5c4d1c9261d316b20	0xae0e3d30a2026133d3a54529965a96796523e8b41efd4c5bd67789302a88525e	0xfb6918ff85632d24250be67b339ab260c80c087dda1efee97ec5dfb538f80552	0x6f4cdf98c14dfaefcea9442081721bc222e5af8602b452cdb60324b439c5c8f8	0x286bfea7d0aed6a5c5bcf1d3d1465772ab470014a7d9f116f66f48fb4f8e378	0x6f4cdf98c14dfaefcea9442081721bc222e5af8602b452cdb60324b439c5c8f8	0x286bfea7d0aed6a5c5bcf1d3d1465772ab470014a7d9f116f66f48fb4f8e378	0x1487	0	0	0	0
1	65	41053	0x50f6d26de3644835d802842909ccdf2822ff9328ba63896218fe9f1e28abe662	0xd4ced907049f2890e311c0764e4001bf82ad15f5b619e690899785f6b16cfe5d	0x3df03f81bb7569428ca9089491b07cdb8f7b60bc5f8b6f09e504d5627ffb016	0xe879b43426e6b001883fd7c6b23143a1ec9bd110e454e35392650be6bef5593d	0xfc482988dd9610a96a45cb841c0f5e94474b0f5faf5c931e8ad2f0ef6116c0d1	0x8eb889773d9ecc14baeb7eee3804306657badda9743000f247c2f37c2beef3fe	0xfc482988dd9610a96a45cb841c0f5e94474b0f5faf5c931e8ad2f0ef6116c0d1	0x8eb889773d9ecc14baeb7eee3804306657badda9743000f247c2f37c2beef3fe	0xa05d	0	0	0	0
1	66	50869	0x3508f29cf0367e7ca2ea23d23d27790e1014570b7545cc00f7b9b2667a82f2f4	0xa94172e3a10f71bd178fbf1556adaa1e6aa52fe31b41ae51d90e55c878f04bd5	0x222c00ba1fb4c3b757702e507b83263426a88f5560e92fd32275331fd7297d7f	0xc9fb4b1c0cfffdd23c9a9df10d24c4049863433414666c4db1ee42abc5edb8fb	0x6494ad09315409e18a42330336f0771735d49f23319e23bf6212c62e9ec39cb5	0x9cd933a71ab0c945bda560e6f0ed30e7d1a6f91d6cfaa7606ead216ecb90c8ac	0x6494ad09315409e18a42330336f0771735d49f23319e23bf6212c62e9ec39cb5	0x9cd933a71ab0c945bda560e6f0ed30e7d1a6f91d6cfaa7606ead216ecb90c8ac	0xc6b5	0	0	0	0
1	67	55216	0x94fd03720b941d6ff0d86ebcf704b76cad2ace5916641d37e75a8dac6eb4be67	0xf3dcedc9e3abd1701d05791235ae15a7484256b4bd422267f432b4a82854f295	0xd727973f7fdc7b90e61f5c21b28b1176fe27f40e7f8465ee8f2a21dcfaa59441	0x6115504f26cf3e8bb4097e3f4680d4fe1270920d114a4e94fe26b5b9a4df58cf	0xacfefa1255a6f75e9cd087a42489e1198bdcc7570d477be1f3d82cf2d2fdc60b	0xbfd85c45562e571494891bf12e240c9b7b9f5c2f3209b92f7c653eabf7eb826f	0xacfefa1255a6f75e9cd087a42489e1198bdcc7570d477be1f3d82cf2d2fdc60b	0xbfd85c45562e571494891bf12e240c9b7b9f5c2f3209b92f7c653eabf7eb826f	0xd7b0	0	0	0	0
1	68	48335	0xd8a7bff7d74d9b7eda847eef909d6bd38d48074a77c805b4d93cbe82501bce	0x38a216434e7ea764ff4fe1059a2c607198079baa7865cfadb0d895d4710c2b48	0xabdae055912ae3fdb43f67661b700fa8f8ee886ea234d2fc5149159d4c254b11	0xba937c3ec15994e770d569e65940df2ccb807509eada9eaa71922d93dd2346d3	0xb2adf4057c7d0e37e6559112ddd07c2d9465fdae09485e6803032e2f811698ef	0xf754bbb0ef5f0272f3122860388f1ca83e37e5f7f2e18f512bcfe83358515ea7	0xb2adf4057c7d0e37e6559112ddd07c2d9465fdae09485e6803032e2f811698ef	0xf754bbb0ef5f0272f3122860388f1ca83e37e5f7f2e18f512bcfe83358515ea7	0xbccf	0	0	0	0
1	69	51279	0xd81bcf87ed400cd6e55420082d4c68ce726c8f8c526fbaddba85dc1be3bf852	0x9d5a276d2d80f22ba5a89828b036a257be5364b857bc133cb2c47b44b2b1584b	0xe7061be0cf2f4e8972dfea53d8551eac78ae878a3d2ee59fa735584fc8b90eb7	0x94950f84ddca81706c121a2d1f3aae2cd796b0af654a3b78967a7a8461a480d	0x5798f96774f0e9ec9ee6553f259d5259d57171dab53d293e9156e889a451305c	0xf7c793c6aa37406b865ebcdfa5ff6eb397a182230ea61acad1dc1cdeddf3dfdc	0x5798f96774f0e9ec9ee6553f259d5259d57171dab53d293e9156e889a451305c	0xf7c793c6aa37406b865ebcdfa5ff6eb397a182230ea61acad1dc1cdeddf3dfdc	0xc84f	0	0	0	0
1	70	9166	0xa4e61893685f07d8afb064169e3ac7d85ced99d22ecb027a543c6679e47d0f2c	0x2a45d56eeb2065eab357c74dec8db173274bde90e3840d7948dfa5f7dad97c86	0xc4e86f9670e8bf20e783d6e7cf321eb75dfcff68a3b2131ca2a481667b15bf49	0x563be533b246ab87f4a202ef8007920d7fe01eb2919c8a813cfdd08cfe005c7d	0xe2c37c412ccf0a2e5a7f51b2405193ffd54d074747f0e1985d326ba5ec922982	0x52e678f5f652dbe4bdc7f9a8dcc13dec88d612ed51820884f9d233af735a6a5c	0xe2c37c412ccf0a2e5a7f51b2405193ffd54d074747f0e1985d326ba5ec922982	0x52e678f5f652dbe4bdc7f9a8dcc13dec88d612ed51820884f9d233af735a6a5c	0x23ce	0	0	0	0
1	71	65402	0x5cd043f1b0695f3e8c653d94dd61226ba4048c02afe879e8a3726754fa76346a	0xa323c7688fe03ef6a8a1e973b46dcc49b69045246830bdffb0b473327975b93	0x77cfff6e3989c172202878d3b9d8e6bd2e5dbf203eebc4955e9ee21388056820	0xf22075a88204aa09d19c4752286d96dca4e8b70a56a43c2ade8a4f7b92644fcf	0xa2affe10c4ce22139c62240323ee4150c61894a34a8fb202c2a57581f079225f	0x737d053215dd442fca8009e7a7f200f2bff6a6ce965e50bb953272d6c2b8b3b9	0xa2affe10c4ce22139c62240323ee4150c61894a34a8fb202c2a57581f079225f	0x737d053215dd442fca8009e7a7f200f2bff6a6ce965e50bb953272d6c2b8b3b9	0xff7a	0	0	0	0
1	72	22630	0x19203f4c7e28f492241686e544460811ed8bc883c76ae8d6afe67bb23d3547e	0xf3c846b14c0bf1ea7ed3ffb9fabce98b80281ac8c50c4be2b74abdf10e05d278	0x2b377669e61bd55eab2e48a86c8fe7834985d62ee6df43ab01c712e5f96a971	0xb07ce5f4618cf75b682f2ccee19228cf14d2fcb1349d12fc61af30257e22eb53	0x35b9ca11f6499c2c76b70243ed9c7d700cc6c85ac29a1fa501a26128b7c7969e	0x14c58ac6f0f2bb6c2854ba86d925ab7d8b3c23851cd8a8ee8e474ecfb7eccc97	0x35b9ca11f6499c2c76b70243ed9c7d700cc6c85ac29a1fa501a26128b7c7969e	0x14c58ac6f0f2bb6c2854ba86d925ab7d8b3c23851cd8a8ee8e474ecfb7eccc97	0x5866	0	0	0	0
1	73	17673	0x867b14536daaafdd4a9675e0bc8a5587a8cccc54730e923043d4095de346b0de	0xd8f237a13be969d45f82cb0dad0fffc6ce50a4047b49d153489e2d057ab84d80	0xd5b49990c0bd02ad1f77315b51bd17c87c4e50d43c765232eb755bfdcabea5c	0x782ec70ddc9ea80141c287b2c9e08a84d1804c9663c2aae997a9464a590264fc	0xf8978f83e298a55213107ab7a95dbeb880f33b57c0ca8aae0beac758c4178e1d	0x2b79fe4080943483ddadb5cbec2826bad958f80cc410615d3823f6a91e75c5c5	0xf8978f83e298a55213107ab7a95dbeb880f33b57c0ca8aae0beac758c4178e1d	0x2b79fe4080943483ddadb5cbec2826bad958f80cc410615d3823f6a91e75c5c5	0x4509	0	0	0	0
